Accession_STEPdb_2.0,Protein_ID_STEPdb_2.0,1ary_Gene_Name,STEPdb_Universal_Name,Uniprot_Protein_Name,STEPdb_Sub-cellular_Location_Full Name,STEPdb_Sub-cellular_Location_Letter Code,sub-cellular_topology_group,SRP_interactome_Schibich2016,TF_interactome_Oh2011,SecA_interactome_Huber2016,DnaK_client_Calloni2012,DnaK_client_Arifuzzaman2016,DnaK_client_Niwa2009,TF_client_Martinez2009,TF_client_Butland2005,TF_client_Arifuzzaman2006,TF_client_Niwa2009,GroEL_client_Kerner2005,GroEL_client_Arifuzzaman2006,GroEL_client_Chapman2006,GroEL_client_Niwa2009,SecB_client_Stepdb1.0,SecB_client_additional_data
P36682,YACH_ECOLI,yacH,"periplasmic protein (SEC through IM), YacH",Uncharacterized protein YacH,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P36683,ACNB_ECOLI,acnB,"cytoplasmic peripheral IM protein, Aconitate hydratase B AcnB","Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,,YES,,,,,,,,YES,,,,
P36767,RDGC_ECOLI,rdgC,"nucleoid protein, Recombination-associated RdgC ",Recombination-associated protein RdgC,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,,,,,,,,,,,
P36771,LRHA_ECOLI,lrhA,"nucleoid protein, Probable HTH-type transcriptional regulator LrhA ",Probable HTH-type transcriptional regulator LrhA,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,,YES,,YES,,,,,,,,YES,,
P36837,DTPB_ECOLI,dtpB,"integral IM protein (SEC in IM), Dipeptide and tripeptide permease B DtpB",Dipeptide and tripeptide permease B,Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,,,,,,
P36879,YADG_ECOLI,yadG,"cytoplasmic peripheral IM protein, ABC transporter ATP-binding YadG",Uncharacterized ABC transporter ATP-binding protein YadG,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,,,YES,,,,,,YES,,YES,,
P36881,YADI_ECOLI,yadI,"cytoplasmic peripheral IM protein, Putative phosphotransferase enzyme IIA component YadI ",Putative phosphotransferase enzyme IIA component YadI (Putative PTS system EIIA component),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,YES,,
P36928,YEGD_ECOLI,yegD,"cytoplasmic protein of Hsp70 family, Chaperone YegD",Uncharacterized chaperone protein YegD,Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,YES,,,YES,,
P36929,RSMB_ECOLI,rsmB,"integral IM protein (SEC in IM), Ribosomal RNA small subunit methyltransferase B RsmB",Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB),Integral Inner Membrane ,B,Integral Inner Membrane,,YES,,,,,,,,,,,,,,
P36930,GATR_ECOLI,gatR,"nucleoid protein, Putative galactitol utilization operon repressor GatR",Putative galactitol utilization operon repressor,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,YES,,,,,,,YES,,YES,,
P36937,KDPF_ECOLI,kdpF,"cytoplasmic peripheral IM protein, Potassium-transporting ATPase KdpF subunit KdpF",Potassium-transporting ATPase KdpF subunit (ATP phosphohydrolase [potassium-transporting] F chain) (Potassium-binding and translocating subunit F) (Potassium-translocating ATPase F chain),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P36938,PGM_ECOLI,pgm,"cytoplasmic protein, Phosphoglucomutase Pgm",Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P36943,EAEH_ECOLI,eaeH,"periplasmic protein (SEC through IM), Putative attaching and effacing homolog EaeH",Putative attaching and effacing protein homolog,Periplasmic,G,Secreted,,,YES,,,,,,YES,,,,,,,
P36979,RLMN_ECOLI,rlmN,"cytoplasmic protein, Dual-specificity RNA methyltransferase RlmN",Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase),Cytoplasmic,A,Cytoplasmic,NO,,,YES,,,,,,,,YES,,,,
P36995,CSPB_ECOLI,cspB,"cytoplasmic, Cold shock protein CspB",Cold shock-like protein CspB (CSP-B),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P36999,RLMA_ECOLI,rlmA,"cytoplasmic protein, 23S rRNA (guanine(745)-N(1))-methyltransferase RlmA",23S rRNA (guanine(745)-N(1))-methyltransferase (EC 2.1.1.187) (23S rRNA m1G745 methyltransferase) (Ribosomal RNA large subunit methyltransferase A),Cytoplasmic,A,Cytoplasmic,,YES,,YES,,,,,,,,YES,,,,
P37001,PAGP_ECOLI,pagP,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), Lipid A palmitoyltransferase PagP ",Lipid A palmitoyltransferase PagP (EC 2.3.1.251) (Lipid A acylation protein),Outer Membrane b-barrel protein,H,Secreted OM (H),,,,,,,,,,,,,,,,
P37002,CRCB_ECOLI,crcB,"integral IM protein (SEC-YidC in IM), Putative fluoride ion transporter CrcB ",Putative fluoride ion transporter CrcB,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P37003,YBFG_ECOLI,ybfG,"cytoplasmic protein, Putative YbfG",Putative uncharacterized protein YbfG,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P37005,LAST_ECOLI,lasT,"cytoplasmic protein, tRNA/rRNA methyltransferase LasT ",Uncharacterized tRNA/rRNA methyltransferase LasT (EC 2.1.1.-),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P37007,YAGA_ECOLI,yagA,"cytoplasmic peripheral IM protein, YagA",Uncharacterized protein YagA,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P37008,YAGB_ECOLI,yagB,"cytoplasmic protein, Orphan antitoxin YagB ",Orphan antitoxin YagB,Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,YES,,,,
P37009,FBPC_ECOLI,fbpC,"cytoplasmic peripheral IM protein, Fe(3+) ions import ATP-binding FbpC",Fe(3+) ions import ATP-binding protein FbpC (EC 3.6.3.30),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,YES,,,,
P37013,NORR_ECOLI,norR,"nucleoid protein, Anaerobic nitric oxide reductase transcription regulator NorR",Anaerobic nitric oxide reductase transcription regulator NorR,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,YES,,,,,,,,,,,,
P37014,RPNE_ECOLI,yfaD,"cytoplasmic protein, Inactive recombination-promoting nuclease-like RpnE",Inactive recombination-promoting nuclease-like protein RpnE,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P37016,YADK_ECOLI,yadK,"Fimbrial periplasmic protein (SEC through IM), YadK",Uncharacterized fimbrial-like protein YadK,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P37017,YADL_ECOLI,yadL,"Fimbrial periplasmic protein (SEC through IM), YadL",Uncharacterized fimbrial-like protein YadL,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P37018,YADM_ECOLI,yadM,"Fimbrial periplasmic protein (SEC through IM), YadM",Uncharacterized fimbrial-like protein YadM,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P37019,CLCA_ECOLI,clcA,"integral IM protein (SEC in IM), H(+)/Cl(-) exchange transporter ClcA",H(+)/Cl(-) exchange transporter ClcA (ClC-ec1),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,YES,,,,,,,,,,,,,
P37024,HRPB_ECOLI,hrpB,"cytoplasmic protein, ATP-dependent RNA helicase HrpB",ATP-dependent RNA helicase HrpB (EC 3.6.4.13),Cytoplasmic,A,Cytoplasmic,,YES,,,YES,,,,,,,,,,,
P37025,THPR_ECOLI,thpR,"cytoplasmic protein, RNA 2',3'-cyclic phosphodiesterase ThpR","RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58) (Two-histidine 2',3'-cyclic phosphodiesterase acting on RNA)",Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P37028,BTUF_ECOLI,btuF,"periplasmic protein (SEC through IM), Vitamin B12-binding protein BtuF",Vitamin B12-binding protein,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P37047,CDAR_ECOLI,cdaR,"nucleoid protein, Carbohydrate diacid regulator CdaR",Carbohydrate diacid regulator (Sugar diacid regulator),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,YES,,,,,,YES,,,,
P37049,YAEI_ECOLI,yaeI,"periplasmic protein (SEC through IM), Phosphodiesterase YaeI ",Phosphodiesterase YaeI (EC 3.1.4.-),Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P37050,YADN_ECOLI,yadN,"Fimbrial periplasmic protein (SEC through IM), YadN",Uncharacterized fimbrial-like protein YadN,Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P37051,PURU_ECOLI,purU,"cytoplasmic protein, Formyltetrahydrofolate deformylase PurU",Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase),Cytoplasmic,A,Cytoplasmic,NO,YES,,,,,,,,,,YES,,,,
P37052,YCHJ_ECOLI,ychJ,"cytoplasmic protein, UPF0225 YchJ",UPF0225 protein YchJ,Cytoplasmic,A,Cytoplasmic,,,YES,YES,,,,,,,,YES,,,,
P37056,YAEF_ECOLI,yaeF,"OM lipoprotein (SEC through IM), inserted in OM by LOL), Probable peptidase YaeF ",Probable lipoprotein peptidase YaeF (EC 3.4.-.-) (Uncharacterized lipoprotein YaeF),Outer Membrane Lipoprotein,I,Secreted,,,,,,,,,,,,,,,,
P37057,OGRK_ECOLI,ogrK,"nucleoid protein, Prophage late control OgrK",Prophage late control protein OgrK (Prophage P2 OGR protein),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P37095,PEPB_ECOLI,pepB,"cytoplasmic protein, Peptidase B PepB",Peptidase B (EC 3.4.11.23) (Aminopeptidase B),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P37127,AEGA_ECOLI,aegA,"cytoplasmic protein, AegA",Protein AegA,Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P37128,NUDK_ECOLI,nudK,"cytoplasmic protein, GDP-mannose pyrophosphatase NudK ",GDP-mannose pyrophosphatase NudK (EC 3.6.1.-),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P37146,RIR4_ECOLI,nrdF,"integral IM protein (SEC in IM), Ribonucleoside-diphosphate reductase 2 subunit beta NrdF",Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P37147,FXSA_ECOLI,fxsA,"integral IM protein (SEC in IM), UPF0716 FxsA",UPF0716 protein FxsA (Suppressor of F exclusion of phage T7),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,YES,,,,,,,,,,,,
P37177,PT1P_ECOLI,ptsP,"cytoplasmic peripheral IM protein, Phosphoenolpyruvate-dependent phosphotransferase system PtsP","Phosphoenolpyruvate-dependent phosphotransferase system (EC 2.7.3.9) (Enzyme I-Ntr) (EINtr) (Phosphotransferase system, enzyme I)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,YES,,,,,,YES,,,,
P37180,HYBB_ECOLI,hybB,"integral IM protein (SEC in IM), Probable Ni/Fe-hydrogenase 2 b-type cytochrome subunit HybB",Probable Ni/Fe-hydrogenase 2 b-type cytochrome subunit,Integral Inner Membrane ,B,Integral Inner Membrane,,YES,,,,,,,,,,,,,,
P37182,HYBD_ECOLI,hybD,"cytoplasmic protein, Hydrogenase 2 maturation protease HybD",Hydrogenase 2 maturation protease (EC 3.4.23.-),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,,,,,
P37188,PTKB_ECOLI,gatB,"cytoplasmic peripheral IM protein, PTS system galactitol-specific EIIB component GatB",PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P37194,SLP_ECOLI,slp,"OM lipoprotein (SEC through IM, inserted in OM by LOL), Slp",Outer membrane protein Slp,Outer Membrane Lipoprotein,I,Secreted,,,,,,,,,,,,,,,,
P37195,DCTR_ECOLI,dctR,"nucleoid protein, HTH-type transcriptional regulator DctR",HTH-type transcriptional regulator DctR,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,,,,,,,,,,,
P37197,YHJA_ECOLI,yhjA,"IM lipoprotein (SEC through IM), inserted in OM by LOL), Probable cytochrome c peroxidase YhjA",Probable cytochrome c peroxidase (EC 1.11.1.5),Inner Membrane Lipoprotein,E,Secreted,,,YES,,,,,,,,,,,,,
P37305,HOKA_ECOLI,hokA,"integral IM protein (SEC in IM), HokA",Protein HokA,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P37306,ARCC_ECOLI,arcC,"cytoplasmic protein, Carbamate kinase ArcC",Carbamate kinase (EC 2.7.2.2),Cytoplasmic,A,Cytoplasmic,,,YES,,YES,YES,,,,,,,,,,
P37309,ARSR_ECOLI,arsR,"nucleoid protein, Arsenical resistance operon repressor ArsR",Arsenical resistance operon repressor,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P37313,DPPF_ECOLI,dppF,"cytoplasmic peripheral IM protein, Dipeptide transport ATP-binding DppF",Dipeptide transport ATP-binding protein DppF,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,YES,YES,YES,YES,,,,,,YES,,,,
P37325,YBCH_ECOLI,ybcH,"periplasmic protein (SEC through IM), YbcH",Uncharacterized protein YbcH,Periplasmic,G,Secreted,,,YES,,,,,,,,,YES,,,,
P37326,INTS_ECOLI,intS,"cytoplasmic protein, Prophage integrase IntS",Prophage integrase IntS (Putative prophage CPS-53 integrase),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,YES,,,,,
P37327,YFDC_ECOLI,yfdC,"integral IM protein (SEC in IM), YfdC",Inner membrane protein YfdC,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P37329,MODA_ECOLI,modA,"periplasmic protein (SEC through IM), Molybdate-binding ModA ",Molybdate-binding protein ModA (Molybdate/tungstate-binding protein ModA),Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P37330,MASZ_ECOLI,glcB,"cytoplasmic protein, Malate synthase G GlcB",Malate synthase G (MSG) (EC 2.3.3.9),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,,,,,
P37338,CSIR_ECOLI,csiR,"nucleoid protein, HTH-type transcriptional repressor CsiR",HTH-type transcriptional repressor CsiR (Carbon starvation induced regulator),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P37339,LHGO_ECOLI,lhgO,"cytoplasmic peripheral IM protein, L-2-hydroxyglutarate oxidase LhgO ",L-2-hydroxyglutarate oxidase LhgO (EC 1.1.3.15),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,YES,YES,,YES,,
P37340,MDTK_ECOLI,mdtK,"integral IM protein (SEC in IM), Multidrug resistance MdtK",Multidrug resistance protein MdtK (Multidrug-efflux transporter),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P37342,YJJI_ECOLI,yjjI,"cytoplasmic protein, YjjI",Uncharacterized protein YjjI,Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P37344,PSPF_ECOLI,pspF,"nucleoid protein, Psp operon transcriptional activator PspF",Psp operon transcriptional activator (Phage shock protein F),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,,,,,,,,,,,,,,
P37348,YECE_ECOLI,yecE,"cytoplasmic protein, UPF0759 YecE",UPF0759 protein YecE,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,YES,,
P37349,DHAM_ECOLI,dhaM,"cytoplasmic peripheral IM protein, PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM ","PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM (EC 2.7.1.121) (Dihydroxyacetone kinase subunit M)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,YES,,,,,,,,,,,,,
P37351,RPIB_ECOLI,rpiB,"cytoplasmic protein, Ribose-5-phosphate isomerase B RpiB",Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P37353,MENE_ECOLI,menE,"cytoplasmic peripheral IM protein, 2-succinylbenzoate--CoA ligase MenE",2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P37355,MENH_ECOLI,menH,"cytoplasmic protein, 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)",Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P37387,XYLF_ECOLI,xylF,"periplasmic protein (SEC through IM), D-xylose-binding periplasmic protein XylF",D-xylose-binding periplasmic protein,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P37388,XYLG_ECOLI,xylG,"cytoplasmic peripheral IM protein, Xylose import ATP-binding XylG ",Xylose import ATP-binding protein XylG (EC 3.6.3.17),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,YES,,,,,,,,,,,
P37440,UCPA_ECOLI,ucpA,"cytoplasmic protein, Oxidoreductase UcpA",Oxidoreductase UcpA (EC 1.-.-.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P37443,YCAI_ECOLI,ycaI,"integral IM protein (SEC in IM), YcaI",Uncharacterized protein YcaI,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P37590,PMRD_ECOLI,pmrD,"cytoplasmic protein, Signal transduction PmrD ",Signal transduction protein PmrD (BasR post-transcriptional activator) (Polymyxin resistance protein PmrD),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P37595,IAAA_ECOLI,iaaA,"cytoplasmic protein, Isoaspartyl peptidase IaaA",Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (EcAIII) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta],Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P37596,NORW_ECOLI,norW,"cytoplasmic protein, Nitric oxide reductase FlRd-NAD(+) reductase NorW",Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-) (Flavorubredoxin reductase) (FlRd-reductase) (FlavoRb reductase),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P37597,YDHC_ECOLI,ydhC,"integral IM protein (SEC in IM), transport YdhC",Inner membrane transport protein YdhC,Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,YES,,,,,,,,,,,,,
P37610,TAUD_ECOLI,tauD,"cytoplasmic protein, Alpha-ketoglutarate-dependent taurine dioxygenase TauD",Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P37613,PANZ_ECOLI,panZ,"cytoplasmic protein, PanD regulatory factor PanZ",PanD regulatory factor,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P37614,YHHL_ECOLI,yhhL,"integral IM protein (SEC in IM), YhhL",Uncharacterized protein YhhL,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P37615,YHHM_ECOLI,yhhM,"integral IM protein (SEC in IM), YhhM",Uncharacterized protein YhhM,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P37617,ZNTA_ECOLI,zntA,"integral IM protein (SEC in IM), Zinc/cadmium/lead-transporting P-type ATPase ZntA",Zinc/cadmium/lead-transporting P-type ATPase (EC 3.6.3.-) (EC 3.6.3.3) (EC 3.6.3.5) (Pb(II)/Cd(II)/Zn(II)-translocating ATPase) (Zn(2+)/Cd(2+)/Pb(2+) export ATPase),Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P37619,QPTR_ECOLI,yhhQ,"integral IM protein (SEC in IM), Queuosine precursor transporter YhhQ",Queuosine precursor transporter (Q precursor transporter),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P37621,YHHS_ECOLI,yhhS,"integral IM protein (SEC in IM), MFS-type transporter YhhS ",Uncharacterized MFS-type transporter YhhS,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P37623,ACPT_ECOLI,acpT,"cytoplasmic protein, 4'-phosphopantetheinyl transferase AcpT",4'-phosphopantetheinyl transferase AcpT (EC 2.7.8.7),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P37624,RBBA_ECOLI,rbbA,"integral IM protein (SEC in IM), Ribosome-associated ATPase RbbA",Ribosome-associated ATPase (Ribosomal bound ATPase),Integral Inner Membrane ,B,Integral Inner Membrane,,YES,,,,YES,,,,,,YES,,YES,,
P37626,YHII_ECOLI,yhiI,"integral IM protein (SEC in IM), YhiI",Uncharacterized protein YhiI,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P37627,YHIJ_ECOLI,yhiJ,"cytoplasmic protein, YhiJ",Uncharacterized protein YhiJ,Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,YES,,,,
P37629,YHIL_ECOLI,yhiL,"cytoplasmic protein, Putative YhiL",Putative uncharacterized protein YhiL,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P37630,YHIM_ECOLI,yhiM,"integral IM protein (SEC in IM), YhiM",Inner membrane protein YhiM,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P37631,YHIN_ECOLI,yhiN,"integral IM protein (SEC in IM), YhiN",Uncharacterized protein YhiN,Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,,YES,,,,
P37634,RLMJ_ECOLI,rlmJ,"cytoplasmic protein, Ribosomal RNA large subunit methyltransferase J RlmJ",Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.266) (23S rRNA (adenine(2030)-N6)-methyltransferase) (23S rRNA m6A2030 methyltransferase),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,YES,,YES,,
P37635,YHIS_ECOLI,yhiS,"cytoplasmic protein, Putative YhiS",Putative uncharacterized protein YhiS,Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,,,,,
P37636,MDTE_ECOLI,mdtE,"OM lipoprotein (SEC through IM), inserted in OM by LOL), Multidrug resistance MdtE",Multidrug resistance protein MdtE,Outer Membrane Lipoprotein,I,Secreted,,,,,,,,,,,,,,,,
P37637,MDTF_ECOLI,mdtF,"integral IM protein (SEC in IM), Multidrug resistance MdtF",Multidrug resistance protein MdtF,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P37639,GADX_ECOLI,gadX,"nucleoid protein, HTH-type transcriptional regulator GadX",HTH-type transcriptional regulator GadX,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P37640,YHJB_ECOLI,yhjB,"nucleoid protein, Putative HTH-type transcriptional regulator YhjB ",Putative HTH-type transcriptional regulator YhjB,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,YES,,,,,,YES,,,,
P37641,YHJC_ECOLI,yhjC,"nucleoid protein, HTH-type transcriptional regulator YhjC",Uncharacterized HTH-type transcriptional regulator YhjC,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P37642,YHJD_ECOLI,yhjD,"integral IM protein (SEC in IM), YhjD",Inner membrane protein YhjD,Integral Inner Membrane,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P37643,YHJE_ECOLI,yhjE,"integral IM protein (SEC in IM), metabolite transport YhjE ",Inner membrane metabolite transport protein YhjE,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P37645,YHJG_ECOLI,yhjG,"integral IM protein (SEC in IM), YhjG",AsmA family protein YhjG,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P37646,PDEH_ECOLI,pdeH,"cytoplasmic protein, Cyclic di-GMP phosphodiesterase PdeH",Cyclic di-GMP phosphodiesterase PdeH (EC 3.1.4.52),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P37647,KDGK_ECOLI,kdgK,"cytoplasmic protein, 2-dehydro-3-deoxygluconokinase KdgK",2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P37648,YHJJ_ECOLI,yhjJ,"periplasmic protein (SEC through IM), YhjJ",Protein YhjJ,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P37649,PDEK_ECOLI,pdeK,"integral IM protein (SEC in IM), Probable cyclic di-GMP phosphodiesterase PdeK",Probable cyclic di-GMP phosphodiesterase PdeK (EC 3.1.4.52),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,,,,,,,,,,,,,,
P37650,BCSC_ECOLI,bcsC,"periplasmic protein (SEC through IM), Cellulose synthase operon C BcsC",Cellulose synthase operon protein C,Periplasmic,G,Secreted,,YES,YES,,,,,,,,,,,,,
P37651,GUN_ECOLI,bcsZ,"periplasmic protein (SEC through IM), Endoglucanase BcsZ","Endoglucanase (EC 3.2.1.4) (Carboxymethylcellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)",Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
